                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4255,                 4.0959,                 1.4588,                0.94579,                 0.9134,                0.95232,                0.76477,                0.78955,                0.82797,                0.94297,                0.07075,                0.00325,                0.00325
                      1,                0.82781,                0.78018,                 1.0385,                0.99458,                0.96261,                  0.988,                0.80233,                0.78036,                0.54812,                0.94936,                0.04062,               0.006453,               0.006453
                      2,                0.87009,                0.77504,                 1.0334,                0.99761,                      1,                  0.995,                0.74755,                0.88532,                0.69781,                 1.0399,               0.010357,               0.009524,               0.009524
                      3,                0.84825,                0.65993,                 1.0208,                0.93072,                0.97059,                0.99125,                 0.7291,                0.98887,                0.77996,                 1.0583,               0.009406,               0.009406,               0.009406
                      4,                0.87062,                0.61562,                 1.0263,                0.94657,                 0.9482,                0.97657,                 0.7538,                0.87457,                0.60905,                  1.012,               0.009406,               0.009406,               0.009406
                      5,                0.87325,                0.58545,                 1.0414,                0.98424,                      1,                  0.995,                0.78461,                0.79737,                0.68474,                0.98952,               0.009208,               0.009208,               0.009208
                      6,                0.86049,                0.58177,                  1.045,                0.68457,                0.29282,                0.28228,                0.22669,                0.94299,                 3.1904,                 1.1914,                0.00901,                0.00901,                0.00901
                      7,                0.82819,                0.55971,                 1.0489,                0.50201,                0.62908,                0.70432,                0.55054,                0.94507,                  1.861,                 1.1137,               0.008812,               0.008812,               0.008812
                      8,                0.83495,                0.53425,                 1.0661,                0.89277,                0.77614,                0.80188,                0.64584,                0.92619,                0.86064,                 1.1352,               0.008614,               0.008614,               0.008614
                      9,                0.80449,                0.50407,                 1.0709,                0.99229,                      1,                  0.995,                0.83301,                0.73488,                0.39613,                 0.9527,               0.008416,               0.008416,               0.008416
                     10,                0.80043,                0.50489,                 1.0365,                0.97681,                      1,                  0.995,                0.80867,                0.77582,                0.49223,                 0.9593,               0.008218,               0.008218,               0.008218
                     11,                0.81508,                0.51867,                 1.0403,                0.95309,                0.97324,                0.98789,                0.82513,                0.69504,                0.39925,                0.93106,                0.00802,                0.00802,                0.00802
                     12,                0.80271,                0.47851,                 1.0333,                0.71733,                0.78536,                0.89619,                0.73768,                 0.7781,                0.94896,                0.97364,               0.007822,               0.007822,               0.007822
                     13,                0.78897,                0.48613,                 1.0391,                0.97691,                0.97059,                0.99361,                0.82992,                0.72426,                0.38142,                 0.9305,               0.007624,               0.007624,               0.007624
                     14,                0.78698,                0.47395,                 1.0429,                0.96789,                0.97059,                0.99361,                0.82594,                0.69298,                 0.3813,                0.90546,               0.007426,               0.007426,               0.007426
                     15,                0.79043,                0.45906,                 1.0386,                0.96444,                0.99626,                  0.995,                0.84316,                0.66861,                0.34554,                0.90345,               0.007228,               0.007228,               0.007228
                     16,                0.78746,                0.48054,                 1.0495,                0.99381,                      1,                  0.995,                0.81406,                0.73374,                0.39658,                0.94535,                0.00703,                0.00703,                0.00703
                     17,                0.75076,                0.45015,                 1.0383,                0.94457,                      1,                  0.995,                0.81764,                0.73896,                0.36871,                0.93619,               0.006832,               0.006832,               0.006832
                     18,                0.77683,                0.46578,                 1.0628,                0.99347,                      1,                  0.995,                0.79615,                0.82283,                0.37274,                0.99408,               0.006634,               0.006634,               0.006634
                     19,                0.76033,                 0.4371,                 1.0479,                0.95802,                0.97059,                0.96442,                0.78801,                0.77321,                0.44836,                0.94028,               0.006436,               0.006436,               0.006436
                     20,                0.75334,                0.44305,                 1.0315,                0.86749,                0.72147,                0.85511,                 0.7054,                 0.8183,                0.77025,                 1.0063,               0.006238,               0.006238,               0.006238
                     21,                0.77166,                0.43026,                 1.0449,                0.99391,                      1,                  0.995,                0.84342,                0.71112,                0.30831,                 0.9259,                0.00604,                0.00604,                0.00604
                     22,                0.75032,                0.40208,                 1.0261,                0.98895,                      1,                  0.995,                0.82348,                0.71193,                0.33095,                0.92922,               0.005842,               0.005842,               0.005842
                     23,                0.73331,                0.41793,                 1.0234,                0.99421,                0.97765,                  0.995,                0.82818,                0.70089,                0.32912,                0.91357,               0.005644,               0.005644,               0.005644
                     24,                0.75021,                0.42879,                 1.0353,                 0.9825,                0.97222,                0.99368,                0.82404,                0.77499,                0.36045,                  0.949,               0.005446,               0.005446,               0.005446
                     25,                0.73564,                0.41863,                 1.0411,                0.99329,                      1,                  0.995,                0.82964,                0.70976,                0.29732,                0.92188,               0.005248,               0.005248,               0.005248
                     26,                0.75296,                0.40371,                 1.0334,                0.99454,                      1,                  0.995,                0.83106,                0.71932,                0.30891,                 0.9254,                0.00505,                0.00505,                0.00505
                     27,                0.72257,                 0.4047,                 1.0268,                0.99353,                      1,                  0.995,                0.83011,                0.71229,                0.30565,                0.91863,               0.004852,               0.004852,               0.004852
                     28,                0.72505,                0.39919,                 1.0319,                0.99353,                      1,                  0.995,                0.81461,                0.75447,                0.32712,                0.94259,               0.004654,               0.004654,               0.004654
                     29,                0.71167,                0.38716,                 1.0201,                0.99163,                      1,                  0.995,                0.83489,                0.68225,                0.29997,                0.91836,               0.004456,               0.004456,               0.004456
                     30,                0.71171,                0.38483,                 1.0196,                0.99274,                      1,                  0.995,                0.83702,                0.68703,                0.29749,                0.91273,               0.004258,               0.004258,               0.004258
                     31,                0.74378,                0.37933,                 1.0305,                0.99164,                      1,                  0.995,                0.84272,                0.66826,                0.28166,                0.89644,                0.00406,                0.00406,                0.00406
                     32,                0.70768,                0.38623,                 1.0087,                0.96654,                0.97059,                0.97924,                0.82575,                0.65068,                0.33026,                0.89968,               0.003862,               0.003862,               0.003862
                     33,                0.71417,                   0.37,                 1.0125,                0.99373,                      1,                  0.995,                0.83768,                0.65859,                0.27453,                0.90271,               0.003664,               0.003664,               0.003664
                     34,                0.70946,                0.37197,                 1.0265,                0.99436,                      1,                  0.995,                 0.8174,                 0.7784,                0.31099,                0.94097,               0.003466,               0.003466,               0.003466
                     35,                0.72777,                0.37784,                 1.0307,                0.99086,                      1,                  0.995,                0.83136,                0.70932,                 0.2947,                0.91852,               0.003268,               0.003268,               0.003268
                     36,                0.70301,                0.36734,                 1.0252,                0.99341,                      1,                  0.995,                0.82494,                0.69885,                0.27061,                0.92606,                0.00307,                0.00307,                0.00307
